text,recalled
"A few months ago I was in the tube sitting down ready to go and meet my friends and out of nowhereI was confronted by a man who came in and started to shout at me asking me to ""go back to (my) country"".This isn't something new that I've encountered because I'm Asian and I don't typically look like the people who apparently ""own"" this country.I remember being so upset and angry but I held back from saying anything because I was alone (and a female) and I cared for my safety more than defending myself to a racist.",1
"A man on the phone was rude to me when discussing a complaint.We were discussing a complaint about a sofa I had recently bought, we were lied to by the salesman and the man on the phone was very rude in telling us we were lying about the salesman for a partial refund.This made me feel angry and embarrassed as this was certainly not the case.",1
"A nightmare neighbour of mine used to repeatedly throw insults my way, it is just the kind of person she was.I learnt to ignore her in the end and carry on about my business, this seemed to make her more angry.",1
A stranger is calling me a bitch all of a sudden.I am doing my own thing whilst sitting at a bus stop.I feel awkward and upset for being called that.The stranger is sitting next to me looks at me in a hateful way.I get up and move to the end of the bus stop standing next to another person.I can still see the stranger looking at me which makes me feel awkward.I take my phone out of my bag and the stranger looks away.I think she wants attention and conflict.She wants me to react to her rudeness but i am not going to.,0
"As a retired person i have plenty of time to browse on facebook and other social media sites to keep in touch with family and friends.I used to comment news and recently i have commented an Ukrainian-Russian war related post.I have raised my voice against military supply for Ukraine because by weapons they will escalate the war that will be resulting in more death, suffering and it is not a good idea to play with the fire as Russia can use nuclear bomb.Well President Zelensky is still very popular in the west and i ve received a very ugly comment calling me stupid idiot bitch, named me as i was a russian spy and this person was totally against peace but war and destruction",1
"As I went for a walk in a forest, a stranger on a street shouted at me while walking briskly towards me.First I didn't understand what he was shouting.I thought he saw someone behind me who he is rushing to.However, then I realised that he was shouting on me calling me you 'bitch' and then he started 'What do you think that you are wearing?I realised that this man is drunk and I quickly turned back and run towards occupied houses.The man started to run after me, however, I was much faster than he was and I lost him between houses.",1
"Based on a true event - I’m ( a health care professional) talking to a patient after completing his leg wound dressing.He is a patient that has been coming for some time the clinic so is familiar with most of the team.After completing the treatment and closing down clinic another staff member joins me in cleaning.He refers to this staff member to his partner who is confused, she thought he was referring to another staff member who wasn’t present.He corrected her but commented that neither of the staff members were slight.My colleague embarrassed said nothing but clearly hearing the comment after she gave a knowing look.I asked the patient to explain what he meant by that comment and he stated that neither of the staff were petite and both “big girls”.I expressed that I didn’t feel these comments were appropriate and he should not be commenting on such things about his nurses, or any women/person.After his arguing that the comments were innaccurate or offensive he told me that I should “not stick my hooter in - (addition for the sake of the",0
"During a discussion with some students, one turned their back on me and refused to answer questions, she was swearing at me.there were 5 students and myself.I stayed calm and did not react to this behaviour.I continued the discussion with the other students.",1
During my jobs in a clothes store a customer behaved negatively towards me following an item not being in stock.The customer expressed that it wasn’t good enough and blamed me for the time not being available.This led me to be frustrated as I was trying my best to explain that it was not my fault and the items will come back into stock.Despite the negative encounter this helped me handle myself better even if I felt negatively about myself in the moment.,1
"We each have our own areas.I got a phone call from a lady who was starting as a representative.She phoned me and accused me of stealing her area, this was not true.I explained it was my area, I told her to I found out she was stealing my books that customers were leaving outside.She started swearing at me, in foul language.I rang my Manager up to report her.She told me not to confront her, she would deal with it.I agreed with what she told me what to do.As far as I know she contacted the lady, and removed from working for the company.It was an unpleasant situation.",1
I am a new citizen here and I try to treat with a lot of people from different cultures.Some of them try to ignore me.One of them approaches me and shouted:”you are foolish” I look at him strangely and ask him to speak in a polite way but he doesn’t respond.At first I try to know what I do but there is no answer,0
"I am a teacher who works with lots of students i don't know.I met a student for the first time and was warned he will swear at me and call me names.He came up to the front to take part in a 'mystery object' activity where he needed to describe an item by feel not sight.I talked to the whole group saying ""remember it's important rhay we don't look, just feel the object"".He replied ""I know that you stupid idiot.I don't like you"" while grabbing the item out of the box.It made me feel really bad.I work hard to be inclusive to students and it was quite shocking that was he looking at me with such anger while saying those things in front of the whole group.He ran off and I continued the activity with the othe",1
"i am at disneyland paris and a lady just pushed in front of me in the queue for a ride, i told them they were being rude and to join the queue like everyone else and she tutted and called me an idiot.",1
"I am at my local library for Rhyme Time with my two children aged 3 and 1.We come regularly but today a different woman is leading Rhyme Time.There are lots of people here and the woman looks stressed.My 3 year old has pulled a couple of books out the boxes and is looking at them.She is sitting on a little chair quietly 'reading' while I am with my 1 year old trying to stop them pulling all the audiobooks off the shelf.My 3 year old comes over to us, leaving her books on the floor.The woman leading the Rhyme Time sessions snatches the books, thrusts them under my nose and says 'are you taking these home?Or can they be put away'.Her tone is snippy, abrupt and rude.I feel shocked and a little embarrassed at being spoken to like this about a non-issue.I would have tidied the books myself once I noticed them.My child isn't the only one who has looked at books, but we are the on",1
"I am at the pub with a few members of my family and we have all been having a nice time.We are having drinks and food and all chatting to each other and moving between conversations with different people.I'm talking to my Nephew and his girlfriend and hearing all about their new house and their plans for decorating etc.My sister is in the conversation too as we are chatting about what needs doing and who can do it.We all start to leave and as my Nephew and girlfriend she says to me almost as an instruction 'keep next saturday free we need you to decorate'.I laughed at first then after they had gone i was annoyed as i though she was rude to tell me, rather than politely ask me.",1
"I am at the theatre with my mother watching a performance and I am sitting next to a very loud woman who is speaking at a loud volume to her partner.I politely tap her arm and ask her to keep it down as I cannot hear the play.She starts off really apologetic saying ""oh gosh I'm sorry"" and proceeds to ask if I could hear what she is saying.I reply, ""yes"" and she responds, ""so repeat the last thing I said then"" in a really blunt and rude manner.I was startled and felt challenged and I explained that I wasn't paying attention to her words, more the noise.In response, she stood up and began shouting violently at me and my mother in the middle of the performance",1
"I am at work and a visitor has arrived for a meeting.I have done all I need and have messaged the person who I needed to contact via teams to advise their visitor was here.I gave it a couple of minutes at still had no response, so I advised the visitor that I would go and check the room to see if the person they needed were up their and didn't see their message.I couldn't find them thereso I went to find my manager just to double check on what she had advised me that morning (I work part time so need a debrief when I arrive)I explained to her the situation and asked her to remind me of what she said and instead of answering my question she talked over me aggressively, like I am a child and answered with a rude response which was uncalled for.I can normally let her behaviour go over my headbut I think I am reaching my limit with her and its made me quite angry.",1
